Entry,Duelist A,Res,ult,Duelist B,Tournament
87,Kenneth Kuo,0,2,Tenzing Kunsang,88 24/6/9 T8
88,Gustavo Romero,2,1,Brian Huynh,88 24/6/9 T4
89,Calvin Chow,2,1,Tenzing Kunsang,88 24/6/9 T4
90,Gustavo Romero,2,0,Calvin Chow,88 24/6/9 T2
91,Nick Varbanets,2,0,Jesse Rhee,Tofu 24/6/15 R1
92,Tuong Lai,0,2,Sam Hoang,Tofu 24/6/15 R1
93,Alvin Phan,2,1,Dan Machado,Tofu 24/6/15 R1
94,Vincent Tran,2,1,Matt Griffin,Tofu 24/6/15 R1
95,Alvin Phan,0,2,Donghun Kang,Tofu 24/6/15 R2
96,Nick Varbanets,1,2,Vincent Tran,Tofu 24/6/15 R2
97,Jesse Rhee,0,2,Tuong Lai,Tofu 24/6/15 R2
98,Dan Machado,0,2,Matt Griffin,Tofu 24/6/15 R2
99,Vincent Tran,2,1,Donghun Kang,Tofu 24/6/15 R3
100,Tuong Lai,1,2,Alvin Phan,Tofu 24/6/15 R3
101,Nick Varbanets,1,2,Matt Griffin,Tofu 24/6/15 R3
102,Dan Machado,1,2,Jesse Rhee,Tofu 24/6/15 R3
103,Vincent Tran,1,2,Alvin Phan,Tofu 24/6/15 R4
104,Donghun Kang,2,1,Tuong Lai,Tofu 24/6/15 R4
105,Matt Griffin,2,1,Jesse Rhee,Tofu 24/6/15 R4
106,Nick Varbanets,2,1,Dan Machado,Tofu 24/6/15 R4
107,Nicco Zaragoza,1,2,Jair Manzanilla,Galaxy 24/6/15 R1
108,Alvaro Lopez,2,0,Jenner Jones,Galaxy 24/6/15 R1
109,Gustavo Romero,2,0,Spencer Porter,Galaxy 24/6/15 R1
109,Janiel Martinez,2,1,Daniel Nath,Galaxy 24/6/15 R1
110,Alvaro Lopez,2,1,Jair Manzanilla,Galaxy 24/6/15 R2
111,Janiel Martinez,0,2,Gustavo Romero,Galaxy 24/6/15 R2
112,Daniel Nath,2,1,Spencer Porter,Galaxy 24/6/15 R2
112,Nicco Zaragoza,0,2,Jenner Jones,Galaxy 24/6/15 R2
115,Gustavo Romero,2,0,Alvaro Lopez,Galaxy 24/6/15 R3
116,Jenner Jones,2,0,Daniel Nath,Galaxy 24/6/15 R3
117,Janiel Martinez,2,1,Jair Manzanilla,Galaxy 24/6/15 R3
118,Nicco Zaragoza,2,0,Spencer Porter,Galaxy 24/6/15 R3
119,Sebastian Rivera,1,2,Alex Baldwin,88 24/6/16 R1
120,Tenzing Kunsang,2,1,Matt Griffin,88 24/6/16 R1
121,Eric Baldwin,1,2,Qiu Yang,88 24/6/16 R1
122,Brian Huynh,2,1,Kenneth Kuo,88 24/6/16 R1
123,Gustavo Romero,2,1,Tuong Lai,88 24/6/16 R1
